episode,reward,opponent
0,-12.580668415948011,weak_bot
1,-11.426243731250816,agent2
2,-11.886129807509178,atk_bot
3,-14.617210464276486,strong_bot
4,-40.94637983436638,prev_self
5,0.0,agent_trained_vs_strong_bot
6,-14.885604675948674,agent5_shit_agent
7,0.0,agent_trained_vs_attack_bot
8,6.170051121513115,agent_trained_vs_defense_bot
9,0.0,prev_self
10,5.3109510777685776,agent_trained_vs_league2
11,-12.240935155920155,agent4
12,-12.312726913151813,agent_trained_vs_defense_bot
13,-25.830375908300283,strong_bot
14,-11.104554459733393,agent_trained_vs_league2
15,-33.218423060334224,agent_trained_vs_league1
16,-16.303259113895958,atk_bot
17,-16.663449077956432,def_bot
18,-14.328834526732265,agent_trained_vs_defense_bot
19,-38.750820119105484,agent_trained_vs_league2
20,-36.731188422878546,def_bot
21,6.418213384153255,agent_trained_vs_defense_bot
22,-30.016555560274746,weak_bot
23,4.738205111955382,agent_trained_vs_defense_bot
24,-10.92673020329606,agent_trained_vs_league1
25,-11.747995235297045,strong_bot
26,-12.84072255168251,agent2
27,0.0,agent5_shit_agent
28,-37.91997196791929,def_bot
29,-13.90046513800505,def_bot
30,-32.461435526990684,agent_trained_vs_league2
31,0.0,agent5_shit_agent
32,-17.760609942019514,agent_trained_vs_league2
33,-13.321412819045364,agent4
34,3.420254878906957,agent5_shit_agent
35,-11.01317404259726,agent2
36,-18.5474177887628,agent_trained_vs_league2
37,-2.7473484816382503,atk_bot
38,0.0,agent5_shit_agent
39,9.236637445485432,agent_trained_vs_attack_bot
